Company Name,Rating,Job Title,Location
The Church of Jesus Christ of Latter-day Saints,3.6,"Data Scientist | Frankfurt (Germany) | Permanent (Full-Time, 40 hours)",Frankfurt am Main
SEEPEX GmbH,3.6,IOT ENTWICKLER - DATA SCIENTIST / ANALYST (M/W/D),Bottrop
Raven51 AG,3.8,(Junior) Data / Business Analyst (m/w/d),Frankfurt am Main
Lactalis Deutschland GmbH,5.0,Data Analyst / Betriebsdatenerfasser (m/w/d),Würzburg
DataLab. GmbH,3.6,Customer Data Analyst (m/w/d),Düsseldorf
MDK Berlin-Brandenburg,3.6,Data Analyst / BI Analyst (m/w/d),Berlin
Hotelplan Group,4.0,SEA Data Analyst,Berlin
Mediengruppe Bayern GmbH,3.3,Data Analyst/in,Passau
"PVcase, UAB",3.9,Financial Analyst,Home office
Apple,3.7,Senior Business Analyst (m/f/d)- 1 year fixed term contract,Munich
Liebherr-Hausgeräte Ochsenhausen GmbH,3.0,Praktikum im eBusiness - Business Intelligence & Digital Analyst,Ulm
CHECK24 Vergleichsportal,4.0,Data Analyst (m/w/d) Hotel,Münster
Verve Group,3.5,Business Analyst (f/m/d),Home office
Collaboration Betters The World GmbH,4.1,Data Analyst (w/m/d),Munich
Gemma Analytics,2.5,Senior Data Analyst,Berlin
Dräger Safety AG & Co. KGaA,5.0,Reporting Analyst / Specialist (m/w/d),Lübeck
Platform 6 Ltd,4.2,ServiceNow HRSD Functional Consultant / Leader - Berlin or Amsterdam or Stockholm or Warsaw - Hybrid,Germany
MHS Digital GmbH,3.1,Data Analyst (m/w/d),Stuttgart
ReJo Personalberatung Kathrin Zahlten & Thomas John GbR,4.2,Data Analyst (m/w/d) - Logistik,Erfurt
Adolf Würth GmbH & Co. KG,3.7,Digital Data Analyst (m/w/d),Künzelsau
Etengo AG,4.6,Azure Data Engineer (w/m/d),Germany
Creakom Dialog GmbH,4.7,Data Analyst / Business Analyst (m/w/d),Germany
IST GmbH,4.0,Data Analyst – PowerBI,Kallmünz
AppLike GmbH,4.0,Business Intelligence Analyst (f/m/d),Hamburg
Da Vinci Engineering GmbH,4.0,Senior Test Engineer (m/f/d),Berlin
Viega,5.0,Data Analyst (m/w/d),Attendorn
B. Braun Melsungen AG,3.4,R&D Product Data Manager (w/m/d),Melsungen
Positive Thinking Company,2.9,Data Analyst (M/W/D),Berlin
Lovehoney Group,3.8,"Data Analyst, Consumer Marketing",Berlin
Steadforce,2.9,Software Architekt / Business Analyst (m/w/d) Schwerpunkt Automotive,Munich
Adidas,1.0,Customs Analyst (m/f/d),Herzogenaurach
COM Software GMBH,4.0,Data Analyst (m/w/d),Eschborn
Gemma Analytics,3.0,Senior Data Analyst,Berlin
Gunzilla Games,3.5,Senior Data Analyst,Frankfurt am Main
Toyo Tire Holdings of Europe GmbH,5.0,Financial Analyst (m/w/d),Willich
1&1 Telecommunication SE,4.0,(Junior) Data Scientist / Data Analyst (w/m/d),Karlsruhe
E.ON,3.8,Senior Flexibility Optimization Analyst H2 (f/m/d),Essen
DEVK Versicherungen,4.1,Business Analyst (m/w/d),Köln
KptnCook GmbH,3.3,Data Engineer (f/m/d),Berlin
marpinion,3.5,Data / BI Analyst (m/w/d),Munich
MediaMarktSaturn,4.1,Data Analyst E-Commerce (m/w/d),Ingolstadt
Smart Pricer GmbH,3.7,Data Science Analyst:in (w/m/d),Berlin
Noerpel SE & Co. KG,4.1,Business Data Analyst – internationale Landverkehre (m/w/d),Germany
Vanilla Steel,3.8,Operations Analyst (Full-time / Intern),Berlin
Redcare Pharmacy,3.5,Business Intelligence Analyst (m/f/d),Köln
MOIA,3.7,Data Engineer (m/f/d) - Service Configuration Intelligence team,Berlin
Invincible Brands,4.0,(Senior) Business Analyst (m/f/d),Berlin
GRESB,3.4,Climate Data Analyst - Intern (Asset Impact) | Berlin,Berlin
Legal Hero GmbH,4.1,Business Intelligence Manager / Data Analyst (m/w/d),Berlin
Syncwork,3.9,(Junior) Analyst (m/w/d) Data Analytics,Berlin
kfzteile24 GmbH,2.8,Teamlead Data & Analytics (f/m/d),Home office
StreetBuzz Distribution,4.1,Data Analyst E-Commerce (h/f/d),Kleinblittersdorf
Wacker Chemie AG,3.9,Business Data Analyst (w/m/d),Munich
Zync Group,3.4,SOC ANALYST L1,Germany
MEDIA Central Group,3.6,Junior Shopper Data Analyst (m/w/d),Berlin
"Lexzau, Scharbau GmbH & Co. KG",5.0,Logistics Business Analyst Oceanfreight LCL (m|w|d),Bremen
Tchibo GmbH,5.0,Data Engineer (m/w/d),Hamburg
KA Resources,2.7,Senior Data Analyst Consultant (w/m/d),Ulm
Mindsurance,4.3,Senior Data Analyst (m/f/d) - B2B SaaS,Berlin
Pandora Jewelry,3.7,Business Analyst Retail & Trade (m/f/d) - Hamburg,Hamburg
